Job Title,Company,Industry,City,Experience,Employment Type,Work Mode,Company Email,Description,Posted Date
Electrical Technician,Flipkart,Education,Jaipur,0-1 Years,Full Time,On-site,careers@flipkart.com,Support various tasks across teams as required. Follow company policies and maintain quality standards. Handle assigned responsibilities and ensure timely task completion. Coordinate with team members and report progress to management.,2025-12-21
Civil Engineer,L&T,Education,Kolkata,3-5 Years,Contract,Remote,careers@l&t.com,Ensure proper documentation and compliance with guidelines. Follow company policies and maintain quality standards. Handle assigned responsibilities and ensure timely task completion. Support various tasks across teams as required.,2025-12-03
Software Engineer,Zomato,Construction,Indore,Fresher,Part Time,Remote,careers@zomato.com,"Participate in code reviews and improve development standards. Write technical documentation and ensure proper version control. Debug, test, and optimize code for high performance. Design, develop, and maintain scalable software applications.",2026-01-01
Sales Manager,Zomato,Logistics,Patna,3-5 Years,Full Time,On-site,careers@zomato.com,Negotiate contracts and maintain customer satisfaction. Achieve monthly targets and lead the sales team. Analyze market trends and customer needs. Prepare sales reports and presentations for management.,2025-12-01
Site Supervisor,Swiggy,Logistics,Indore,1-3 Years,Full Time,On-site,careers@swiggy.com,Schedule labor and resources efficiently to meet deadlines. Monitor project progress and report to management. Coordinate with engineers and contractors. Ensure safety standards and material quality.,2025-12-16
Electrical Technician,Reliance Industries,Marketing & Advertising,Ahmedabad,3-5 Years,Internship,Remote,careers@relianceindustries.com,Support various tasks across teams as required. Coordinate with team members and report progress to management. Ensure proper documentation and compliance with guidelines. Handle assigned responsibilities and ensure timely task completion.,2026-01-13
Mechanical Engineer,L&T,Banking & Finance,Gurgaon,5+ Years,Contract,On-site,careers@l&t.com,Handle assigned responsibilities and ensure timely task completion. Follow company policies and maintain quality standards. Ensure proper documentation and compliance with guidelines. Support various tasks across teams as required.,2025-12-30
Quality Analyst,Apollo Hospitals,Retail,Patna,3-5 Years,Full Time,Remote,careers@apollohospitals.com,Ensure proper documentation and compliance with guidelines. Support various tasks across teams as required. Coordinate with team members and report progress to management. Follow company policies and maintain quality standards.,2025-12-16
Marketing Executive,Wipro,Manufacturing,Indore,5+ Years,Contract,Hybrid,careers@wipro.com,Support various tasks across teams as required. Coordinate with team members and report progress to management. Follow company policies and maintain quality standards. Ensure proper documentation and compliance with guidelines.,2026-01-16
Interior Designer,Tata Group,Retail,Kolkata,1-3 Years,Internship,On-site,careers@tatagroup.com,Handle assigned responsibilities and ensure timely task completion. Coordinate with team members and report progress to management. Support various tasks across teams as required. Follow company policies and maintain quality standards.,2026-01-14
Electrical Technician,Adani Group,Construction,Jaipur,0-1 Years,Part Time,On-site,careers@adanigroup.com,Ensure proper documentation and compliance with guidelines. Support various tasks across teams as required. Coordinate with team members and report progress to management. Follow company policies and maintain quality standards.,2026-01-18
Data Analyst,Wipro,Logistics,Jaipur,5+ Years,Part Time,Hybrid,careers@wipro.com,Create dashboards and reports to support business decisions. Ensure data accuracy and maintain database integrity. Analyze large datasets to extract actionable insights. Implement data cleaning and transformation pipelines.,2025-12-15
Operations Executive,Adani Group,IT Services,Mumbai,0-1 Years,Internship,Hybrid,careers@adanigroup.com,Ensure proper documentation and compliance with guidelines. Follow company policies and maintain quality standards. Coordinate with team members and report progress to management. Handle assigned responsibilities and ensure timely task completion.,2025-12-18
Site Supervisor,Adani Group,Construction,Chennai,0-1 Years,Full Time,Remote,careers@adanigroup.com,Supervise construction activities at the site. Ensure safety standards and material quality. Schedule labor and resources efficiently to meet deadlines. Coordinate with engineers and contractors.,2026-01-14
UI/UX Designer,HDFC Bank,Construction,Bhopal,3-5 Years,Part Time,Hybrid,careers@hdfcbank.com,Ensure proper documentation and compliance with guidelines. Support various tasks across teams as required. Coordinate with team members and report progress to management. Follow company policies and maintain quality standards.,2026-01-11
Content Writer,Wipro,Logistics,Bhopal,Fresher,Internship,Hybrid,careers@wipro.com,Coordinate with team members and report progress to management. Support various tasks across teams as required. Ensure proper documentation and compliance with guidelines. Follow company policies and maintain quality standards.,2026-01-04
Assistant Professor,HDFC Bank,Retail,Delhi,3-5 Years,Full Time,On-site,careers@hdfcbank.com,Support various tasks across teams as required. Follow company policies and maintain quality standards. Handle assigned responsibilities and ensure timely task completion. Coordinate with team members and report progress to management.,2025-12-22
Site Supervisor,HDFC Bank,Construction,Mumbai,1-3 Years,Contract,Remote,careers@hdfcbank.com,Ensure safety standards and material quality. Coordinate with engineers and contractors. Schedule labor and resources efficiently to meet deadlines. Monitor project progress and report to management.,2025-12-12
Digital Marketing Executive,L&T,Logistics,Indore,1-3 Years,Part Time,Remote,careers@l&t.com,Support various tasks across teams as required. Ensure proper documentation and compliance with guidelines. Handle assigned responsibilities and ensure timely task completion. Coordinate with team members and report progress to management.,2025-12-13
Site Supervisor,Flipkart,Banking & Finance,Chennai,5+ Years,Part Time,Remote,careers@flipkart.com,Coordinate with engineers and contractors. Monitor project progress and report to management. Ensure safety standards and material quality. Schedule labor and resources efficiently to meet deadlines.,2025-12-19
Civil Engineer,Reliance Industries,Marketing & Advertising,Delhi,3-5 Years,Internship,Remote,careers@relianceindustries.com,Coordinate with team members and report progress to management. Follow company policies and maintain quality standards. Handle assigned responsibilities and ensure timely task completion. Ensure proper documentation and compliance with guidelines.,2026-01-13
Loan Officer,Zomato,Marketing & Advertising,Chennai,3-5 Years,Internship,Remote,careers@zomato.com,Support various tasks across teams as required. Ensure proper documentation and compliance with guidelines. Handle assigned responsibilities and ensure timely task completion. Follow company policies and maintain quality standards.,2025-12-15
Assistant Professor,HDFC Bank,IT Services,Patna,0-1 Years,Internship,Remote,careers@hdfcbank.com,Handle assigned responsibilities and ensure timely task completion. Follow company policies and maintain quality standards. Support various tasks across teams as required. Ensure proper documentation and compliance with guidelines.,2025-12-23
Operations Executive,Infosys,Manufacturing,Hyderabad,1-3 Years,Contract,On-site,careers@infosys.com,Ensure proper documentation and compliance with guidelines. Follow company policies and maintain quality standards. Handle assigned responsibilities and ensure timely task completion. Coordinate with team members and report progress to management.,2025-11-28
Graphic Designer,ICICI Bank,Retail,Hyderabad,3-5 Years,Contract,On-site,careers@icicibank.com,Support various tasks across teams as required. Handle assigned responsibilities and ensure timely task completion. Follow company policies and maintain quality standards. Ensure proper documentation and compliance with guidelines.,2026-01-02
Data Analyst,Tata Group,Marketing & Advertising,Ahmedabad,3-5 Years,Contract,Hybrid,careers@tatagroup.com,Create dashboards and reports to support business decisions. Analyze large datasets to extract actionable insights. Implement data cleaning and transformation pipelines. Work with stakeholders to understand data requirements.,2026-01-10
Data Analyst,Wipro,IT Services,Kolkata,1-3 Years,Internship,Hybrid,careers@wipro.com,Work with stakeholders to understand data requirements. Ensure data accuracy and maintain database integrity. Create dashboards and reports to support business decisions. Implement data cleaning and transformation pipelines.,2026-01-06
Pharmacist,Wipro,Logistics,Noida,5+ Years,Full Time,Remote,careers@wipro.com,Support various tasks across teams as required. Handle assigned responsibilities and ensure timely task completion. Ensure proper documentation and compliance with guidelines. Coordinate with team members and report progress to management.,2026-01-13
Mechanical Engineer,Reliance Industries,Education,Noida,0-1 Years,Contract,On-site,careers@relianceindustries.com,Coordinate with team members and report progress to management. Follow company policies and maintain quality standards. Ensure proper documentation and compliance with guidelines. Handle assigned responsibilities and ensure timely task completion.,2026-01-10
Civil Engineer,Infosys,Education,Hyderabad,3-5 Years,Internship,Hybrid,careers@infosys.com,Follow company policies and maintain quality standards. Support various tasks across teams as required. Ensure proper documentation and compliance with guidelines. Handle assigned responsibilities and ensure timely task completion.,2026-01-10
Teacher,Byju's,IT Services,Mumbai,1-3 Years,Internship,Hybrid,careers@byju's.com,Ensure proper documentation and compliance with guidelines. Coordinate with team members and report progress to management. Handle assigned responsibilities and ensure timely task completion. Support various tasks across teams as required.,2025-12-01
Staff Nurse,ICICI Bank,IT Services,Kolkata,1-3 Years,Contract,Remote,careers@icicibank.com,Monitor patient vitals and administer medications. Assist in emergency situations and routine checkups. Communicate with patients and families about treatment plans. Maintain medical records and ensure hygiene standards.,2026-01-05
Marketing Executive,Swiggy,Banking & Finance,Delhi,1-3 Years,Contract,Remote,careers@swiggy.com,Follow company policies and maintain quality standards. Support various tasks across teams as required. Ensure proper documentation and compliance with guidelines. Coordinate with team members and report progress to management.,2025-11-30
Staff Nurse,Mahindra & Mahindra,Logistics,Ahmedabad,0-1 Years,Part Time,On-site,careers@mahindra&mahindra.com,Monitor patient vitals and administer medications. Maintain medical records and ensure hygiene standards. Provide patient care and assist doctors in clinical procedures. Assist in emergency situations and routine checkups.,2026-01-03
Site Supervisor,Byju's,IT Services,Ahmedabad,5+ Years,Part Time,On-site,careers@byju's.com,Monitor project progress and report to management. Coordinate with engineers and contractors. Ensure safety standards and material quality. Schedule labor and resources efficiently to meet deadlines.,2025-12-22
Assistant Professor,Zomato,Retail,Patna,1-3 Years,Part Time,On-site,careers@zomato.com,Handle assigned responsibilities and ensure timely task completion. Follow company policies and maintain quality standards. Coordinate with team members and report progress to management. Support various tasks across teams as required.,2025-12-30
Software Engineer,L&T,Retail,Delhi,0-1 Years,Internship,Remote,careers@l&t.com,"Write technical documentation and ensure proper version control. Debug, test, and optimize code for high performance. Design, develop, and maintain scalable software applications. Participate in code reviews and improve development standards.",2025-11-28
Supply Chain Analyst,Reliance Industries,Retail,Chennai,0-1 Years,Part Time,Remote,careers@relianceindustries.com,Handle assigned responsibilities and ensure timely task completion. Coordinate with team members and report progress to management. Ensure proper documentation and compliance with guidelines. Support various tasks across teams as required.,2025-12-05
Supply Chain Analyst,Byju's,Education,Bengaluru,1-3 Years,Contract,Remote,careers@byju's.com,Follow company policies and maintain quality standards. Handle assigned responsibilities and ensure timely task completion. Ensure proper documentation and compliance with guidelines. Support various tasks across teams as required.,2025-11-21
HR Executive,Swiggy,Construction,Nagpur,Fresher,Internship,Remote,careers@swiggy.com,"Maintain records of employee attendance and leave. Assist in employee engagement and performance management. Manage recruitment, onboarding, and employee documentation. Coordinate HR policies, payroll support, and compliance.",2025-12-01
Marketing Executive,Reliance Industries,Healthcare,Indore,3-5 Years,Internship,On-site,careers@relianceindustries.com,Ensure proper documentation and compliance with guidelines. Follow company policies and maintain quality standards. Handle assigned responsibilities and ensure timely task completion. Coordinate with team members and report progress to management.,2025-11-27
Project Coordinator,Byju's,Marketing & Advertising,Gurgaon,3-5 Years,Internship,Remote,careers@byju's.com,Handle assigned responsibilities and ensure timely task completion. Support various tasks across teams as required. Follow company policies and maintain quality standards. Coordinate with team members and report progress to management.,2025-11-27
Assistant Professor,L&T,IT Services,Indore,Fresher,Part Time,Hybrid,careers@l&t.com,Support various tasks across teams as required. Coordinate with team members and report progress to management. Ensure proper documentation and compliance with guidelines. Follow company policies and maintain quality standards.,2026-01-01
Site Supervisor,Infosys,Marketing & Advertising,Mumbai,5+ Years,Part Time,Hybrid,careers@infosys.com,Supervise construction activities at the site. Monitor project progress and report to management. Schedule labor and resources efficiently to meet deadlines. Coordinate with engineers and contractors.,2026-01-01
Teacher,Adani Group,Manufacturing,Bengaluru,5+ Years,Contract,Remote,careers@adanigroup.com,Follow company policies and maintain quality standards. Ensure proper documentation and compliance with guidelines. Handle assigned responsibilities and ensure timely task completion. Support various tasks across teams as required.,2025-12-05
Content Writer,L&T,Banking & Finance,Hyderabad,0-1 Years,Part Time,On-site,careers@l&t.com,Support various tasks across teams as required. Follow company policies and maintain quality standards. Handle assigned responsibilities and ensure timely task completion. Coordinate with team members and report progress to management.,2025-12-15
UI/UX Designer,Mahindra & Mahindra,Marketing & Advertising,Ahmedabad,0-1 Years,Full Time,On-site,careers@mahindra&mahindra.com,Coordinate with team members and report progress to management. Follow company policies and maintain quality standards. Ensure proper documentation and compliance with guidelines. Support various tasks across teams as required.,2025-12-01
Data Analyst,L&T,Manufacturing,Lucknow,3-5 Years,Internship,Remote,careers@l&t.com,Implement data cleaning and transformation pipelines. Create dashboards and reports to support business decisions. Analyze large datasets to extract actionable insights. Ensure data accuracy and maintain database integrity.,2025-12-26
Content Writer,Reliance Industries,Marketing & Advertising,Patna,1-3 Years,Internship,Hybrid,careers@relianceindustries.com,Handle assigned responsibilities and ensure timely task completion. Coordinate with team members and report progress to management. Follow company policies and maintain quality standards. Support various tasks across teams as required.,2025-12-30
HR Executive,HDFC Bank,Logistics,Delhi,1-3 Years,Internship,Remote,careers@hdfcbank.com,"Manage recruitment, onboarding, and employee documentation. Support training and development initiatives. Maintain records of employee attendance and leave. Assist in employee engagement and performance management.",2025-11-26
Graphic Designer,Infosys,Manufacturing,Delhi,1-3 Years,Contract,Hybrid,careers@infosys.com,Follow company policies and maintain quality standards. Ensure proper documentation and compliance with guidelines. Support various tasks across teams as required. Coordinate with team members and report progress to management.,2025-12-18
Hospital Administrator,Flipkart,IT Services,Bengaluru,5+ Years,Full Time,Remote,careers@flipkart.com,Ensure proper documentation and compliance with guidelines. Handle assigned responsibilities and ensure timely task completion. Follow company policies and maintain quality standards. Coordinate with team members and report progress to management.,2026-01-16
Data Analyst,Tata Group,Manufacturing,Lucknow,Fresher,Part Time,Remote,careers@tatagroup.com,Work with stakeholders to understand data requirements. Analyze large datasets to extract actionable insights. Create dashboards and reports to support business decisions. Implement data cleaning and transformation pipelines.,2026-01-18
Graphic Designer,Flipkart,Manufacturing,Chennai,0-1 Years,Part Time,Remote,careers@flipkart.com,Coordinate with team members and report progress to management. Support various tasks across teams as required. Follow company policies and maintain quality standards. Ensure proper documentation and compliance with guidelines.,2025-12-06
HR Executive,HDFC Bank,IT Services,Indore,0-1 Years,Internship,Remote,careers@hdfcbank.com,"Assist in employee engagement and performance management. Manage recruitment, onboarding, and employee documentation. Support training and development initiatives. Maintain records of employee attendance and leave.",2026-01-16
UI/UX Designer,L&T,IT Services,Jaipur,1-3 Years,Full Time,On-site,careers@l&t.com,Support various tasks across teams as required. Follow company policies and maintain quality standards. Coordinate with team members and report progress to management. Handle assigned responsibilities and ensure timely task completion.,2026-01-14
Project Coordinator,Amazon India,IT Services,Noida,3-5 Years,Contract,Remote,careers@amazonindia.com,Ensure proper documentation and compliance with guidelines. Coordinate with team members and report progress to management. Follow company policies and maintain quality standards. Support various tasks across teams as required.,2025-12-07
Assistant Professor,Amazon India,Banking & Finance,Ahmedabad,0-1 Years,Internship,Remote,careers@amazonindia.com,Ensure proper documentation and compliance with guidelines. Handle assigned responsibilities and ensure timely task completion. Follow company policies and maintain quality standards. Coordinate with team members and report progress to management.,2025-11-29
Accountant,Mahindra & Mahindra,Healthcare,Ahmedabad,3-5 Years,Part Time,Hybrid,careers@mahindra&mahindra.com,Support various tasks across teams as required. Follow company policies and maintain quality standards. Coordinate with team members and report progress to management. Handle assigned responsibilities and ensure timely task completion.,2025-12-09
Content Writer,ICICI Bank,Banking & Finance,Jaipur,3-5 Years,Full Time,Remote,careers@icicibank.com,Coordinate with team members and report progress to management. Follow company policies and maintain quality standards. Ensure proper documentation and compliance with guidelines. Support various tasks across teams as required.,2026-01-07
Teacher,Mahindra & Mahindra,Marketing & Advertising,Gurgaon,0-1 Years,Contract,Remote,careers@mahindra&mahindra.com,Follow company policies and maintain quality standards. Ensure proper documentation and compliance with guidelines. Handle assigned responsibilities and ensure timely task completion. Support various tasks across teams as required.,2026-01-09
UI/UX Designer,ICICI Bank,Banking & Finance,Nagpur,3-5 Years,Full Time,Hybrid,careers@icicibank.com,Support various tasks across teams as required. Follow company policies and maintain quality standards. Ensure proper documentation and compliance with guidelines. Coordinate with team members and report progress to management.,2026-01-02
Electrical Technician,Infosys,Marketing & Advertising,Hyderabad,0-1 Years,Contract,Hybrid,careers@infosys.com,Handle assigned responsibilities and ensure timely task completion. Coordinate with team members and report progress to management. Support various tasks across teams as required. Ensure proper documentation and compliance with guidelines.,2025-12-04
Production Supervisor,Infosys,Construction,Jaipur,Fresher,Internship,Remote,careers@infosys.com,Follow company policies and maintain quality standards. Ensure proper documentation and compliance with guidelines. Handle assigned responsibilities and ensure timely task completion. Coordinate with team members and report progress to management.,2026-01-01
Project Coordinator,Byju's,Marketing & Advertising,Kolkata,3-5 Years,Full Time,Remote,careers@byju's.com,Coordinate with team members and report progress to management. Support various tasks across teams as required. Follow company policies and maintain quality standards. Ensure proper documentation and compliance with guidelines.,2025-12-03
Supply Chain Analyst,Apollo Hospitals,Construction,Nagpur,Fresher,Part Time,On-site,careers@apollohospitals.com,Follow company policies and maintain quality standards. Ensure proper documentation and compliance with guidelines. Handle assigned responsibilities and ensure timely task completion. Coordinate with team members and report progress to management.,2025-12-27
